# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1003cb70 | 74 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@PBD@Z
0x1003cbbc | 122 | ASCII | ??$?9DU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z
0x1003cc38 | 77 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z
0x1003cc88 | 82 | ASCII | ??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@ABV01@@Z
0x1003ccda | 12 | ASCII | MSVCP80.dll
0x1003cce8 | 13 | ASCII | ??3@YAXPAX@Z
0x1003ccf8 | 14 | ASCII | ??_V@YAXPAX@Z
0x1003cd08 | 13 | ASCII | ??2@YAPAXI@Z
0x1003cd18 | 25 | ASCII | ??0exception@std@@QAE@XZ
0x1003cd34 | 26 | ASCII | _invalid_parameter_noinfo
0x1003cd50 | 30 | ASCII | ??0exception@std@@QAE@ABQBD@Z
0x1003cd70 | 31 | ASCII | ??0exception@std@@QAE@ABV01@@Z
0x1003cd92 | 25 | ASCII | ??1exception@std@@UAE@XZ
0x1003cdae | 30 | ASCII | ?what@exception@std@@UBEPBDXZ
0x1003cdce | 15 | ASCII | _vswprintf_c_l
0x1003cde0 | 8 | ASCII | wprintf
0x1003cdf2 | 10 | ASCII | memmove_s
0x1003cdfe | 10 | ASCII | _purecall
0x1003ce08 | 12 | ASCII | MSVCR80.dll
0x1003ce16 | 18 | ASCII | ?terminate@@YAXXZ
0x1003ce2a | 8 | ASCII | _unlock
0x1003ce34 | 16 | ASCII | _encode_pointer
0x1003ce46 | 12 | ASCII | __dllonexit
0x1003ce54 | 6 | ASCII | _lock
0x1003ce5c | 8 | ASCII | _onexit
0x1003ce66 | 16 | ASCII | _decode_pointer
0x1003ce78 | 12 | ASCII | _malloc_crt
0x1003ce86 | 14 | ASCII | _encoded_null
0x1003ce9e | 10 | ASCII | _initterm
0x1003ceaa | 12 | ASCII | _initterm_e
0x1003ceb8 | 11 | ASCII | _amsg_exit
0x1003cec6 | 13 | ASCII | _adjust_fdiv
0x1003ced6 | 16 | ASCII | __CppXcptFilter
0x1003cee8 | 19 | ASCII | _crt_debugger_hook
0x1003cefe | 24 | ASCII | _except_handler4_common
0x1003cf18 | 51 | ASCII | ?_type_info_dtor_internal_method@type_info@@QAEXXZ
0x1003cf4e | 33 | ASCII | __clean_type_info_names_internal
0x1003cf72 | 20 | ASCII | InterlockedExchange
0x1003cf88 | 6 | ASCII | Sleep
0x1003cf90 | 27 | ASCII | InterlockedCompareExchange
0x1003cfae | 17 | ASCII | TerminateProcess
0x1003cfc2 | 18 | ASCII | GetCurrentProcess
0x1003cfd6 | 25 | ASCII | UnhandledExceptionFilter
0x1003cff2 | 28 | ASCII | SetUnhandledExceptionFilter
0x1003d010 | 18 | ASCII | IsDebuggerPresent
0x1003d024 | 24 | ASCII | QueryPerformanceCounter
0x1003d03e | 13 | ASCII | GetTickCount
0x1003d04e | 24 | ASCII | GetSystemTimeAsFileTime
0x1003d068 | 19 | ASCII | _CxxThrowException
0x1003d07e | 19 | ASCII | __CxxFrameHandler3
0x1003de42 | 19 | ASCII | MessageService.dll
0x1003de55 | 57 | ASCII | ??0Acceptor_Manager@Message@Outpop@@QAE@AAVContext@12@@Z
0x1003de8e | 50 | ASCII | ??0Acceptor_Manager@Message@Outpop@@QAE@ABV012@@Z
0x1003dec0 | 56 | ASCII | ??0App_Asynch_Ack_Handler@Message@Outpop@@QAE@ABV012@@Z
0x1003def8 | 49 | ASCII | ??0App_Asynch_Ack_Handler@Message@Outpop@@QAE@XZ
0x1003df29 | 62 | ASCII | ??0App_Asynch_Group_Ack_Handler@Message@Outpop@@QAE@ABV012@@Z
0x1003df67 | 55 | ASCII | ??0App_Asynch_Group_Ack_Handler@Message@Outpop@@QAE@XZ
0x1003df9e | 53 | ASCII | ??0App_Request_Handler@Message@Outpop@@QAE@ABV012@@Z
0x1003dfd3 | 46 | ASCII | ??0App_Request_Handler@Message@Outpop@@QAE@XZ
0x1003e001 | 140 | ASCII | ??0Asynch_Ack_Handler@Message@Outpop@@QAE@AAVRequest_Ack@12@AAVApp_Asynch_Ack_Handler@12@W4EDispatchType@Utility@2@PAVDispatch_Thread@62@@Z
0x1003e08d | 52 | ASCII | ??0Asynch_Ack_Handler@Message@Outpop@@QAE@ABV012@@Z
0x1003e0c1 | 56 | ASCII | ??0Channel_Manager@Message@Outpop@@QAE@AAVContext@12@@Z
0x1003e0f9 | 49 | ASCII | ??0Channel_Manager@Message@Outpop@@QAE@ABV012@@Z
0x1003e12a | 58 | ASCII | ??0Connector_Manager@Message@Outpop@@QAE@AAVContext@12@@Z
0x1003e164 | 51 | ASCII | ??0Connector_Manager@Message@Outpop@@QAE@ABV012@@Z
0x1003e197 | 41 | ASCII | ??0Context@Message@Outpop@@QAE@ABV012@@Z
0x1003e1c0 | 34 | ASCII | ??0Context@Message@Outpop@@QAE@XZ
0x1003e1e2 | 55 | ASCII | ??0First_Message_Handler@Message@Outpop@@QAE@ABV012@@Z
0x1003e219 | 48 | ASCII | ??0First_Message_Handler@Message@Outpop@@QAE@XZ
0x1003e249 | 39 | ASCII | ??0Group@Message@Outpop@@QAE@ABV012@@Z
0x1003e270 | 32 | ASCII | ??0Group@Message@Outpop@@QAE@XZ
0x1003e290 | 49 | ASCII | ??0Handler_Manager@Message@Outpop@@QAE@ABV012@@Z
0x1003e2c1 | 42 | ASCII | ??0Handler_Manager@Message@Outpop@@QAE@XZ
0x1003e2eb | 43 | ASCII | ??0IO_Thread@Message@Outpop@@QAE@ABV012@@Z
0x1003e316 | 36 | ASCII | ??0IO_Thread@Message@Outpop@@QAE@XZ
0x1003e33a | 34 | ASCII | ??0Message@0Outpop@@QAE@AAV001@@Z
0x1003e35c | 28 | ASCII | ??0Message@0Outpop@@QAE@I@Z
0x1003e378 | 65 | ASCII | ??0Message@0Outpop@@QAE@_NW4EMultiType@01@W4EMessageType@01@0I@Z
