# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x101be4b0 | 11 | ASCII | GameModule
0x101be4c8 | 87 | ASCII | Game is running module '%s' but tried to load map of module '%s'. Continuing anyway...
0x101be638 | 17 | ASCII | SpatialPartition
0x101be7dc | 8 | ASCII | General
0x101be82c | 7 | ASCII | UNLOAD
0x101bef7c | 10 | ASCII | EditorCam
0x101befc0 | 10 | ASCII | Occlusion
0x101beff0 | 7 | ASCII | Editor
0x101bf018 | 10 | ASCII | SceneInfo
0x101bf024 | 11 | ASCII | GameModule
0x101bf038 | 8 | ASCII | General
0x101bf040 | 10 | ASCII | SceneName
0x101bf04c | 15 | ASCII | LoadingTexture
0x101bf05c | 10 | ASCII | CameraPos
0x101bf068 | 10 | ASCII | CameraDir
0x101bf078 | 6 | ASCII | Color
0x101bf080 | 6 | ASCII | Start
0x101bf088 | 9 | ASCII | Exponent
0x101bf094 | 14 | ASCII | StartDistance
0x101bf0a4 | 9 | ASCII | StartVar
0x101bf0b0 | 12 | ASCII | ExponentVar
0x101bf0bc | 17 | ASCII | StartDistanceVar
0x101bf0d0 | 17 | ASCII | SpatialPartition
0x101bf0e4 | 10 | ASCII | AsyncLoad
0x101bf0f0 | 9 | ASCII | IsOcTree
0x101bf0fc | 13 | ASCII | NodesPerLeaf
0x101bf10c | 15 | ASCII | SubareaBorderX
0x101bf11c | 15 | ASCII | SubareaBorderZ
0x101bf12c | 14 | ASCII | SubareaWidthX
0x101bf13c | 14 | ASCII | SubareaWidthZ
0x101bf14c | 17 | ASCII | LogicCoordOffset
0x101bf160 | 12 | ASCII | RealBBoxMin
0x101bf16c | 12 | ASCII | RealBBoxMax
0x101bf17c | 10 | ASCII | LightCone
0x101bf188 | 11 | ASCII | SkyEnabled
0x101bf194 | 12 | ASCII | ScriptClass
0x101bf1a0 | 12 | ASCII | DisplayTime
0x101bf1ac | 11 | ASCII | SkyBoxSize
0x101bf1b8 | 14 | ASCII | SkyShaderFile
0x101bf1c8 | 21 | ASCII | SkyBGShaderTechnique
0x101bf1e0 | 25 | ASCII | EnvironmentMapMultiplier
0x101bf1fc | 20 | ASCII | SunAmbientLightName
0x101bf210 | 21 | ASCII | MoonAmbientLightName
0x101bf228 | 20 | ASCII | MoonShaderTechnique
0x101bf23c | 12 | ASCII | MoonTexture
0x101bf248 | 22 | ASCII | MoonCycleMinuteOffset
0x101bf260 | 14 | ASCII | MoonYDistance
0x101bf270 | 14 | ASCII | MoonXDistance
0x101bf280 | 19 | ASCII | SunShaderTechnique
0x101bf294 | 11 | ASCII | SunTexture
0x101bf2a0 | 21 | ASCII | SunCycleMinuteOffset
0x101bf2b8 | 13 | ASCII | SunYDistance
0x101bf2c8 | 13 | ASCII | SunXDistance
0x101bf2d8 | 13 | ASCII | FogIntensity
0x101bf2e8 | 15 | ASCII | SkyTextureName
0x101bf2f8 | 18 | ASCII | SkyTextureNameEnv
0x101bf30c | 10 | ASCII | HasClouds
0x101bf318 | 11 | ASCII | CloudModel
0x101bf324 | 18 | ASCII | CloudMaterialName
0x101bf338 | 21 | ASCII | CloudShaderTechnique
0x101bf350 | 13 | ASCII | HasLightning
0x101bf360 | 22 | ASCII | LightningStartMinutes
0x101bf378 | 20 | ASCII | LightningEndMinutes
0x101bf38c | 24 | ASCII | LightningFlashFrequency
0x101bf3a4 | 8 | ASCII | DrawSun
0x101bf3ac | 9 | ASCII | DrawMoon
0x101bf3b8 | 17 | ASCII | SkyIntensity_HDR
0x101bf3cc | 17 | ASCII | SkyIntensity_LDR
0x101bf3e0 | 19 | ASCII | CloudIntensity_HDR
0x101bf3f4 | 19 | ASCII | CloudIntensity_LDR
0x101bf408 | 12 | ASCII | AntiFogBias
0x101bf414 | 13 | ASCII | DayTimeStart
0x101bf424 | 13 | ASCII | DayTimeSpeed
0x101bf434 | 28 | ASCII | SunLightIntensityMultiplier
0x101bf450 | 29 | ASCII | MoonLightIntensityMultiplier
0x101bf470 | 11 | ASCII | MaxDayTime
0x101bf484 | 9 | ASCII | FarPlane
0x101bf490 | 12 | ASCII | FarPlaneVar
0x101bf49c | 23 | ASCII | FarClipSpatialBatching
0x101bf4b4 | 16 | ASCII | ScriptAllLights
0x101bf4c4 | 10 | ASCII | Occlusion
0x101bf4d0 | 17 | ASCII | DisableOcclusion
0x101bf4e8 | 12 | ASCII | LODCullBias
0x101bf4f4 | 10 | ASCII | EditorCam
0x101bf500 | 10 | ASCII | Direction
0x101bf50c | 9 | ASCII | Location
0x101bf51c | 7 | ASCII | Editor
0x101bf524 | 15 | ASCII | CurrentActorID
0x101bf534 | 31 | ASCII | [These are the scene defaults]
0x101bf554 | 10 | ASCII | SceneInfo
0x101bf560 | 13 | ASCII | MaterialList
0x101bf578 | 10 | ASCII | SceneInfo
0x101bf584 | 13 | ASCII | MaterialList
0x101bf594 | 14 | ASCII | SelectionList
0x101bf5ac | 15 | ASCII | CollisionModel
0x101bf5bc | 17 | ASCII | CustomProperties
0x101bf5d0 | 6 | ASCII | Actor
0x101bf5f0 | 9 | ASCII | LODRatio
0x101bf608 | 18 | ASCII | RelativeTransform
0x101bf64c | 6 | ASCII | IGame
0x101bf654 | 10 | ASCII | SceneInfo
0x101bf660 | 11 | ASCII | GameModule
0x101bf67c | 10 | ASCII | Loading '
0x101bf688 | 19 | ASCII | Parsing Scene File
0x101bf6a0 | 10 | ASCII | Loading '
0x101bf6ac | 24 | ASCII | Caching Scene Resources
0x101bf6c4 | 7 | ASCII | (None)
0x101bf6cc | 7 | ASCII | (None)
0x101bf6f4 | 7 | ASCII | Shader
0x101bf73c | 46 | ASCII | Material '%s' lacks shader, using default mat
0x101bf774 | 9 | ASCII | Material
0x101bf790 | 9 | ASCII | Category
0x101bf79c | 7 | ASCII | Shader
0x101bf7ac | 10 | ASCII | Technique
0x101bf7b8 | 10 | ASCII | Materials
0x101bf7c4 | 9 | ASCII | Material
0x101bf7d0 | 16 | ASCII | MaterialLibrary
0x101bf7e0 | 44 | ASCII | ..\..\Shared\xercesc/util/BaseRefVectorOf.c
0x101bf80c | 44 | ASCII | ..\..\Shared\xercesc/util/BaseRefVectorOf.c
0x101bf864 | 6 | ASCII | 2_5_0
0x101bf86c | 15 | ASCII | xerces-c_2_5_0
0x101bf884 | 31 | ASCII | getDOMImplementation() failed!
0x101bf8a4 | 25 | ASCII | createDocument() failed!
0x101bf8c0 | 21 | ASCII |   Exception message:
0x101bf8d8 | 39 | ASCII | Error during Xerces-c Initialization.\n
0x101bf900 | 46 | ASCII | An error occurred during parsing\n   Message: 
0x101bf930 | 24 | ASCII | DOMException code is:  
